

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
ISAT,2018-12-21,1745,1730,-15,-0.86,1943100,
ISAT,2018-12-20,1735,1745,10,0.58,947000,
ISAT,2018-12-19,1755,1735,-20,-1.14,1594100,
ISAT,2018-12-18,1785,1755,-30,-1.68,1167500,
ISAT,2018-12-17,1820,1785,-35,-1.92,1615500,
ISAT,2018-12-14,1790,1820,30,1.68,1182700,
ISAT,2018-12-13,1810,1790,-20,-1.10,2399000,
ISAT,2018-12-12,1850,1810,-40,-2.16,2122600,
ISAT,2018-12-11,1885,1850,-35,-1.86,1196100,
ISAT,2018-12-10,1945,1885,-60,-3.08,1709400,
ISAT,2018-12-07,1965,1945,-20,-1.02,2380900,
ISAT,2018-12-06,1990,1965,-25,-1.26,874900,
ISAT,2018-12-05,2030,1990,-40,-1.97,1780200,
ISAT,2018-12-04,2080,2030,-50,-2.40,723000,
ISAT,2018-12-03,1985,2080,95,4.79,1017100,
ISAT,2018-11-30,2030,1985,-45,-2.22,1504500,
